Metrica,Valore
Numero di Coppie Elaborate,1000.0
Coppie Saltate,0.0
Media ImageBind Score,0.03791927456832491
Mediana ImageBind Score,0.032222891226410866
Deviazione Standard ImageBind Score,0.06411301757606551
Minimo ImageBind Score,-0.13230645656585693
Massimo ImageBind Score,0.32833439111709595
