Filename Audio,Similarita Coseno
000002.mp3,0.35547423
000005.mp3,0.37630296
000010.mp3,0.2841623
000140.mp3,0.38814232
000141.mp3,0.33074918
000148.mp3,0.37316966
000182.mp3,0.22323471
000190.mp3,0.31428492
000193.mp3,0.29616147
000194.mp3,0.34339237
000197.mp3,0.45778883
000200.mp3,0.24068667
000203.mp3,0.42110085
000204.mp3,0.24574895
000207.mp3,0.35855114
000210.mp3,0.31311104
000211.mp3,0.2998709
000212.mp3,0.25212407
000213.mp3,0.20924065
000255.mp3,0.10303873
000256.mp3,0.31697845
000368.mp3,0.248381
000424.mp3,0.33620253
000459.mp3,0.3342069
000534.mp3,0.387746
000540.mp3,0.33548015
000546.mp3,0.18324414
000574.mp3,0.27302504
000602.mp3,0.52513576
000615.mp3,0.36035803
000620.mp3,0.33434257
000621.mp3,0.3286265
000625.mp3,0.27968347
000666.mp3,0.23976186
000667.mp3,0.15223148
000676.mp3,0.30512998
000690.mp3,0.24339055
000694.mp3,0.34518164
000695.mp3,0.24248521
000704.mp3,0.16481856
000705.mp3,0.32700038
000706.mp3,0.11572763
000707.mp3,0.2257773
000708.mp3,0.17800546
000709.mp3,0.3976274
000714.mp3,0.29741567
000715.mp3,0.32991484
000716.mp3,0.14770778
000718.mp3,0.23777707
000777.mp3,0.22717752
000814.mp3,0.3493462
000821.mp3,0.2636134
000822.mp3,0.21887746
000825.mp3,0.3520269
000853.mp3,0.330634
000890.mp3,0.28040034
000892.mp3,0.35020205
000897.mp3,0.1768457
000993.mp3,0.14174178
000995.mp3,0.4164982
000997.mp3,0.39364552
000998.mp3,0.4075529
