"Metric,Value"
"Numero di Coppie,1000.0"
"Media,0.33353063464164734"
"Mediana,0.33586764335632324"
"Deviazione Standard,0.08957317471504211"
"Minima,0.0640736073255539"
"Massima,0.5913873314857483"
