"Metric,Value"
"Numero di Coppie,1000.0"
"Media,0.32466402649879456"
"Mediana,0.3267209529876709"
"Deviazione Standard,0.09826315194368362"
"Minima,0.039869360625743866"
"Massima,0.6695222854614258"
