"Filename Audio,Similarita Coseno"
"000002.mp3,0.23943004"
"000005.mp3,0.12121887"
"000010.mp3,0.25915426"
"000140.mp3,0.3096394"
"000141.mp3,0.33167568"
"000148.mp3,0.17397249"
"000182.mp3,0.12135117"
"000190.mp3,0.26979825"
"000193.mp3,0.3878994"
"000194.mp3,0.15754087"
"000197.mp3,0.34988382"
"000200.mp3,0.20648372"
"000203.mp3,0.3876304"
"000204.mp3,0.22970656"
"000207.mp3,0.21524014"
"000210.mp3,0.35087147"
"000211.mp3,0.31494004"
"000212.mp3,0.3448354"
"000213.mp3,0.31619078"
"000255.mp3,0.16081934"
"000256.mp3,0.33391887"
"000368.mp3,0.18907356"
"000424.mp3,0.20048165"
"000459.mp3,0.2880154"
"000534.mp3,0.3802833"
"000540.mp3,0.3229018"
"000546.mp3,0.23817974"
"000574.mp3,0.14715154"
"000602.mp3,0.4403475"
"000615.mp3,0.31745484"
"000620.mp3,0.35704926"
"000621.mp3,0.41108498"
"000625.mp3,0.3150765"
"000666.mp3,0.27315646"
"000667.mp3,0.2475444"
"000676.mp3,0.17445038"
"000690.mp3,0.18797629"
"000694.mp3,0.27086717"
"000695.mp3,0.17497447"
"000704.mp3,0.1739114"
"000705.mp3,0.2834211"
"000706.mp3,0.27756685"
"000707.mp3,0.25405878"
"000708.mp3,0.21235892"
"000709.mp3,0.34361196"
"000714.mp3,0.25145844"
"000715.mp3,0.21285863"
"000716.mp3,0.2953552"
"000718.mp3,0.28816393"
"000777.mp3,0.23179013"
"000814.mp3,0.28113094"
"000821.mp3,0.26223692"
"000822.mp3,0.35609308"
"000825.mp3,0.16874532"
"000853.mp3,0.20087868"
"000890.mp3,0.24872696"
"000892.mp3,0.24501128"
"000897.mp3,0.073430404"
"000993.mp3,0.19006029"
"000995.mp3,0.3161162"
"000997.mp3,0.43321818"
"000998.mp3,0.28754333"
"001039.mp3,0.36607453"
"001040.mp3,0.3603501"
"001066.mp3,0.2585011"
"001069.mp3,0.09994075"
"001073.mp3,0.168078"
"001075.mp3,0.29530373"
"001082.mp3,0.34098315"
"001083.mp3,0.23934151"
"001087.mp3,0.36398226"
"001102.mp3,0.36171842"
"001193.mp3,0.27074465"
"001195.mp3,0.27227792"
"001196.mp3,0.2941752"
"001197.mp3,0.2547343"
"001249.mp3,0.2520296"
"001259.mp3,0.18566684"
"001270.mp3,0.26151028"
"001276.mp3,0.29399565"
"001277.mp3,0.23131408"
"001278.mp3,0.25523764"
"001417.mp3,0.16543734"
"001427.mp3,0.2967016"
"001443.mp3,0.2953821"
"001482.mp3,0.2579705"
"001510.mp3,0.28088"
"001544.mp3,0.3040287"
"001642.mp3,0.24847528"
"001644.mp3,0.16801454"
"001649.mp3,0.18673642"
"001661.mp3,0.2019991"
"001663.mp3,0.33992815"
"001666.mp3,0.3970453"
"001673.mp3,0.3639211"
"001680.mp3,0.5088155"
"001681.mp3,0.380381"
"001682.mp3,0.40472227"
"001683.mp3,0.33808735"
"001684.mp3,0.381081"
"001685.mp3,0.46454617"
"001686.mp3,0.4462393"
"001687.mp3,0.32782772"
"001688.mp3,0.38691136"
"001689.mp3,0.377571"
"001701.mp3,0.20270859"
"001702.mp3,0.30741307"
"001703.mp3,0.37218755"
"001704.mp3,0.39043412"
"001706.mp3,0.21541591"
"001720.mp3,0.27163345"
"001732.mp3,0.4182762"
"001733.mp3,0.2361907"
"001735.mp3,0.26437122"
"001736.mp3,0.34906024"
"001883.mp3,0.1647578"
"001891.mp3,0.28864267"
"001893.mp3,0.2595401"
"001924.mp3,0.27466613"
"001925.mp3,0.24502222"
"001929.mp3,0.32933512"
"001930.mp3,0.29321632"
"005006.mp3,0.34814236"
"005156.mp3,0.49032867"
"005157.mp3,0.50977856"
"005158.mp3,0.4124059"
"005159.mp3,0.4848525"
"005169.mp3,0.4427985"
"005170.mp3,0.553875"
"005171.mp3,0.47372183"
"005191.mp3,0.16155139"
"005264.mp3,0.2655886"
"005268.mp3,0.28817296"
"005376.mp3,0.39819068"
"005381.mp3,0.103742205"
"005521.mp3,0.22075592"
"005879.mp3,0.17762604"
"005936.mp3,0.36997375"
"005940.mp3,0.3036548"
"025028.mp3,0.24318348"
"025029.mp3,0.44319105"
"025030.mp3,0.23802637"
"025031.mp3,0.35462478"
"025032.mp3,0.3672462"
"025033.mp3,0.04461725"
"025055.mp3,0.25840396"
"025063.mp3,0.2661624"
"025066.mp3,0.36186004"
"025104.mp3,0.2446569"
"025124.mp3,0.34266353"
"025215.mp3,0.21347378"
"025216.mp3,0.22710328"
"025227.mp3,0.23493956"
"025232.mp3,0.42709464"
"025233.mp3,0.35891968"
"025234.mp3,0.428234"
"025235.mp3,0.36758655"
"025324.mp3,0.39423552"
"025378.mp3,0.32199633"
"025601.mp3,0.3261629"
"134034.mp3,0.25523886"
"134052.mp3,0.37472045"
"134053.mp3,0.32620668"
"134054.mp3,0.4623623"
"134073.mp3,0.23787199"
"134077.mp3,0.30115238"
